"name_sci","name_e","name_c","lat","lon","survey_dat","province","county","location","national_l","IUCN_redli","endemic_c","data_sourc","data_owner"
"Alectoris chukar","Chukor Partridge","石鸡",42.3,86.36667,196005,"","","新疆和静县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",42.83333,93.46667,NA,"","","新疆哈密县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.33333,81,198800,"","","新疆策勒县奴尔",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.7,74.48333,195906,"","","新疆不伦口",0,6,0,"动物所标本(38166)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.96667,86.55,NA,"","","新疆博湖县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43,93,198606,"","","新疆巴里坤三个泉边防站",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.7,76.13333,NA,"","","新疆阿图什市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.15,75.91667,195906,"","","新疆阿克陶县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.15,80.31667,NA,"","","新疆阿克苏市",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",32.2,79.1,197707,"","","西藏札达县曲松",0,6,0,"郑作新主编,1983","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",31.4,79.8,197606,"","","西藏札达县",0,6,0,"动物所标本(58424)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",31.4,79.8,NA,"","","西藏札达县",0,6,0,"尹秉高,刘务林,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",29.3,85.3,NA,"","","西藏萨迦县",0,6,0,"尹秉高,刘务林,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.4,79.6,NA,"","","西藏日土县",0,6,0,"尹秉高,刘务林,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",32.4,85.3,NA,"","","西藏革吉县",0,6,0,"尹秉高,刘务林,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",32.3,84,NA,"","","西藏改则县",0,6,0,"尹秉高,刘务林,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",32.5,80.5,197408,"","","西藏阿里地区扎达村",0,6,0,"青海省生物研究所,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.03333,117.4,NA,"","","天津蓟县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.78333,108,199504,"","","陕西周至县板房子",0,6,0,"丁长青,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.2,109.7,195900,"","","陕西榆林县郊区及牛家梁村",0,6,0,"陈延熹,1979","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.2,107.5,196500,"","","陕西洋县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.86667,110.2,196500,"","","陕西延川县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.96667,108.16667,196500,"","","陕西吴旗县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.83333,107.7,NA,"","","陕西太白县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.5,110.21667,NA,"","","陕西绥德县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.8,110.4,196400,"","","陕西神木县大保兔和尔林兔",0,6,0,"陈延熹,1979","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",34.13333,110.08333,196500,"","","陕西洛南县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",34.5,110.08333,196500,"","","陕西华阴县华山近区",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.98333,109.26667,196500,"","","陕西横山县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.01667,111.05,NA,"","","陕西府谷县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.63333,107.80833,198206,"","","陕西佛坪自然保护区",0,6,0,"巩会生,阮英琴,1997","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",33.63333,107.80833,198200,"","","陕西佛坪自然保护区",0,6,0,"史东仇,邓凤鸣,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.5,107.7,NA,"","","陕西定边县郊区",0,6,0,"陈延熹,1979.","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",34.1,108.9,196500,"","","陕西长安县",0,6,0,"姚建初,1992(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40,112.68333,NA,"","","山西左云县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.08333,113.36667,NA,"","","山西左权县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.71667,112.7,NA,"","","山西原平市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",35.26667,111.86667,196207,"","","山西垣曲县同善",0,6,0,"动物所标本(43366)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.06667,112.96667,NA,"","","山西榆社县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.68333,112.71667,NA,"","","山西榆次市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40,112.45,NA,"","","山西右玉县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",34.86667,110.45,NA,"","","山西永济县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38,112.6,NA,"","","山西阳曲县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.36667,113.73333,NA,"","","山西阳高县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.4,112.71667,NA,"","","山西忻州市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.61667,113.68333,NA,"","","山西昔阳县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.9,111.8,NA,"","","山西五寨县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.71667,113.25,NA,"","","山西五台县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.41667,114.08333,NA,"","","山西天镇县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.75,112.75,NA,"","","山西太原市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.41667,112.53333,NA,"","","山西太谷县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.31667,112.43333,NA,"","","山西朔州市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.88333,113.18333,NA,"","","山西寿阳县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.5,112.31667,NA,"","","山西沁源县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.2,112.18333,NA,"","","山西平遥县",0,6,0,"李湘涛,1996","Ding, Changqing"
